job_id,job_name,riasec_source,awareness_score,awareness_label,riasec_現実的,riasec_現実的_z,riasec_研究的,riasec_研究的_z,riasec_芸術的,riasec_芸術的_z,riasec_社会的,riasec_社会的_z,riasec_企業的,riasec_企業的_z,riasec_慣習的,riasec_慣習的_z,workctx_外で働く_z,workctx_座って集中_z,workctx_立ち仕事_z,workctx_歩き回る仕事_z,workctx_人と関わる_z,workctx_チームで動く_z,workctx_お客さんと話す_z,workctx_みんなをまとめる_z,workctx_スピード勝負_z,workctx_決まった予定で動く_z,workctx_毎日ちがう_z,workctx_結果に責任を持つ_z,workctx_人の安全を守る_z,workctx_正確さが大事_z,workctx_コツコツ続ける_z,workctx_自分で決められる_z,workctx_特別な装備を使う_z,workctx_手先を使う_z,workctx_機械と働く_z,subject_数学_z,subject_理科_z,subject_社会_z,subject_国語_z,subject_英語_z,subject_美術・音楽_z,subject_技術・家庭_z,description
2,洋菓子製造、パティシエ,observed,2,知っている,3.345,0.02271713136745783,3.0,-0.3398859821886052,2.945,0.37914482639384733,3.236,-0.48645373741808906,2.836,-0.7122613474190524,3.455,0.8644615235778776,-0.893056484284516,-1.4605427322038265,1.3751725746229428,0.3553404971922154,-0.12963905707627507,0.7855101930427798,-0.6061025068815259,0.2880467477197959,0.14852091679383572,0.8478802893660203,-1.2411407285156113,-0.8075599345408805,-0.2956156509502854,0.5276513123628793,2.041936455794799,-1.0802527397389403,-0.428703567561855,1.2290705144607141,0.08432179813043983,-0.16456090649511648,-0.2958683428519661,-0.8131671123288302,-0.9729019696887026,-0.7809884767640976,-0.12730414456736622,-0.10885160224351838,洋菓子店や菓子工場で洋菓子を製造する。
11,ハム・ソーセージ・ベーコン製造,observed,0,知らない,3.304,-0.08574770315384769,2.739,-0.93122215980783,2.543,-0.42006991388723464,2.826,-1.3210646399693593,2.652,-1.2227223158301164,3.326,0.44048821107077707,-1.1252801283407745,-1.3570877672530002,1.3414550938231249,-0.04432866776180387,-1.7516909283233544,0.2705339681613831,-1.3465108887897137,-0.6692187313741664,-0.39077110256251174,1.1097722904126455,-1.1456746891919094,-1.3757942178998483,-0.6787842755097417,-0.4999518773028606,0.5230248455644173,-1.529376434977437,-0.3974064660852206,0.843552989063684,-0.4870227004884011,-0.871707899132623,-0.4995130656202475,-0.9702066065800474,-1.0641213685659674,-1.06692672189882,-0.729335870870513,-0.14892138128364285,原料肉を分割・整形した後、塩づけ、くん煙などの加工をして、ハム・ソーセージ・ベーコンを製造する。
12,ワイン製造,observed,1,名前は聞いたことがある,3.708,0.9830277394463249,3.292,0.32168552687198265,2.958,0.4049900791890074,3.375,-0.20350028508973209,3.292,0.5527940960344555,3.375,0.6015323375269623,0.9958253736458871,-0.20696680554741867,0.49081122107343395,0.0,-1.7272155228587205,0.43470424119404266,-0.3515351306299466,0.18351775862332878,0.443250276209514,-1.6428798056944387,1.4378750000057698,0.6545765020863441,-7.699595100449963e-16,-0.4771162508658447,0.7811054023469249,-0.7500147285341632,-3.6575539645673327e-16,6.028315959046431e-16,0.0,1.3926832235281235,1.9466802874944895,2.1555437637211226,0.24418973587918902,1.0747790448775925,0.902298807780058,1.372984084971474,ブドウからワインを醸造する作業に従事する。
13,ビール製造,observed,1,名前は聞いたことがある,3.594,0.6814425898017211,3.469,0.7227066128436408,3.031,0.5501211141156716,3.313,-0.32970973864626524,3.219,0.3502742553061528,3.219,0.08882042472767752,-0.04480861289910343,0.008331364755652007,-0.21340244934561922,-0.4226631797823344,0.0706142603616356,-0.23580171603408434,-0.2766623729088933,-0.25660430073021767,0.5644864666074522,0.19593637186697418,0.21471637117084083,-1.5127993217927218,-0.1950555594369443,-0.04552291120623397,0.3778545323742562,-0.8768261248367977,0.745761345745536,-0.13517284125765006,1.4060889218008932,0.21714639490706433,0.1743390788855073,-0.6796423002410358,-0.45682509658855946,-0.38180736226908873,-0.6792857273536242,0.417059847888586,ビール醸造所（ブルワリー）において、ビールの製造に従事する。
15,野菜つけ物製造,observed,0,知らない,3.382,0.12060003081351295,2.818,-0.7522353474249992,2.545,-0.41609372114951826,2.927,-1.115465368853071,2.691,-1.1145267844821196,3.236,0.14469287676349812,-0.22553496350355554,-1.62364740667585,1.511969211010775,0.675360291194544,-3.3737427995704334,-0.3636817181858403,-2.2100433611725214,-1.2193713055660995,-1.16626466528036,0.7642977358405015,-0.6325447278270125,-1.8204993092242576,-1.1399736607261004,-1.2580946750118058,-0.6652210512883774,-1.5029573940810554,-0.10584925759236184,0.6019258076528694,-0.8053838141466612,-0.49608358261334534,-0.1481027149724628,-0.30347186455770625,-1.1453441209909294,-0.7866506202321117,-0.5491553542097137,0.2639988303120475,野菜を材料にしたつけ物を製造するため、材料の選別、洗浄、カット、漬け込み、塩抜き、計量、殺菌、検査、包装などの作業を行う。
17,ガラス食器製造,observed,0,知らない,3.286,-0.13336641099246865,3.184,0.07699469475368367,3.347,1.1783595666749302,2.959,-1.050325005727118,2.918,-0.4847733071489032,3.082,-0.3614458063845145,-0.3343594326847311,-0.34024662525884325,0.37617178635405296,-0.048595598348501114,-0.29651682160786796,-0.6661006421933723,-0.8473591706493617,-1.0928362135019551,0.02101388896152114,0.11792598857648995,0.2982491555790796,-0.24157163649163257,-0.20199073816200233,-0.3012819273008172,0.8294955067436445,-0.4514795664050446,0.3833738549634518,1.3444542808647548,-0.3932198723569497,0.02553237109561109,-0.2382555211535323,-0.5604144674089788,-1.340278726810838,-0.5007123750973892,0.5705378564681102,0.35076968927630736,毎日の生活で使われるコップや皿などガラス製の食器を成形する。
18,プラスチック成形,observed,0,知らない,3.553,0.5729777552804168,3.149,-0.002303260099469359,2.447,-0.6109271652976426,2.702,-1.5734835470824267,2.894,-0.5513551725938247,3.298,0.3484629959529567,-0.5558949592321241,-0.35609107935041157,0.3752084297597726,0.24866723252477235,-0.30319193218913193,-0.5364925319044299,-1.1451863624731051,-1.1826944672866373,-0.16293067578017892,0.3185241170377351,-0.3938796295177582,-0.24830959242078957,0.10835850978434498,-1.212423422137773,0.19504747131998124,-0.7103861671895896,0.1906495985020706,1.1177591162826985,1.0138225496148234,0.5076089230656962,0.27703351229984996,-0.43507283025874655,-0.8454447274218391,-0.6734077508718256,-0.2917546161228576,0.40346874012274625,プラスチックに熱を加えて成形機で成形し、さまざまな製品を作る。
21,土木設計技術者,observed,0,知らない,3.31,-0.06987480054097327,3.38,0.5210632419313382,2.972,0.4328234283530248,3.239,-0.4803468283750317,3.197,0.28924087864830866,3.254,0.20385194362495332,0.04458291535686224,1.1332876052569785,-1.4156714790076967,-1.2760492971218769,-0.6614228667169495,-0.39305955651800034,0.029484014217188503,0.29904979920363495,-0.42839612716876807,-1.408848655822986,1.061977470168694,0.4659137360699288,-0.8261568234172249,0.28331010948680296,-0.5630641642286341,0.2406993050801683,-0.23927374283485645,-1.4844841801472561,-0.24256684535795195,2.5651785597077317,1.2836516383458716,1.6286298580746827,0.32166374588453744,-0.34075682212598496,-0.11014409536157581,1.7060964298733734,橋、道路、鉄道、ダム、トンネルなど土木工事を進めるにあたって、調査・計画・設計を行う。
25,大工,observed,2,知っている,4.209,2.308415107621289,3.179,0.0656664154889468,3.164,0.8145379311738407,3.522,0.09573825802011308,3.164,0.19769081366154187,3.418,0.7428567750293297,1.2591417231824817,-1.3524276336966568,1.3135177525889903,0.7692327641018935,-1.495811689374912,-0.7905244280707561,-0.5245743929186012,-0.8104245587500957,-0.5140975721052427,-1.9883543602665825,2.428335157989175,-0.0012512083516734817,-0.10316444132992474,-0.7146067658108148,-1.1786938257202404,0.185219319197766,0.9961381575586126,1.8535003091178757,-1.7206720159141584,1.518905159848367,0.18802779979842624,-0.015530770555763886,-0.9016758637160436,-0.7540932952910296,0.12723658531852466,0.7222834102174213,一般住宅、とりわけ木造住宅の新築や増改築の計画、構造施工の中核的な作業を行う。
26,型枠大工,observed,0,知らない,3.917,1.5359338471280959,2.883,-0.60496771698343,2.85,0.19027567135229848,3.183,-0.5943424638454491,2.883,-0.5818718609227475,3.283,0.29916377356840973,1.7566250108678554,-1.232196187942994,1.3337482410688808,1.0238262891081906,-0.447819328116511,0.14611018228399852,-1.6692956665204741,-0.5041729591165869,0.6000212120689177,-0.9909358881953921,1.0381109603377683,-0.0012512083516734817,0.04767569594008698,-0.17340241925352612,-0.18132000732117565,0.37279450956207866,2.8838475413598332,1.864359957720609,-1.3312481536714655,1.5949424708846578,0.16205851102664157,-0.23023855340323146,-0.8391968233891497,-0.7654175822270582,-0.38470488265422237,1.0077108364813845,鉄筋コンクリートの鋳型の役割を果たす型枠を作り、工事現場で組み立てる。
27,鉄筋工,observed,0,知らない,3.927,1.5623886848162196,3.127,-0.052147688864308754,2.873,0.23600188783604226,3.091,-0.7816210078325626,2.945,-0.40986870852336743,3.345,0.5029338927578698,1.462215955850925,-1.1073046086329876,1.0389611232190445,1.7392483174778401,-0.5390458393937824,0.27226207629856874,-1.1884461780452686,0.08082261144083462,-0.22354877097914802,-0.11053299105992816,-0.07168174680026475,-0.4863840352510297,0.39270083751172447,0.018416842817412103,-0.17325498992172197,-0.07897108976605596,2.549462720320001,1.5630047089947614,-1.2004926962761087,0.7524490646025533,-0.5859303417087877,-0.6049517800156088,-1.1765836411543762,-0.7498466876900188,-0.5706054157169517,0.43808725392170755,鉄筋コンクリート構造物の骨組みとなるかご状の鉄筋を加工して組み立てる。
28,鉄骨工,observed,0,知らない,3.74,1.0676832200483188,2.98,-0.3851990992475497,2.78,0.051108925532208895,2.9,-1.1704275502405939,2.74,-0.9785888091987374,3.26,0.22357163257877125,0.7733182000522338,-0.7894835000903592,0.8520699439286255,0.6952726339324663,-1.1019801650803536,-0.3394882042652381,-0.8889551471610583,-0.6765540990300588,-0.6666879496750618,-1.057801931015807,1.0023111955913802,0.42099402987554396,0.8174805344215282,-0.5022354399465621,-0.36681540750860264,-0.583574770886955,2.575818174195062,1.584724006200228,-0.21129923598080108,0.9014821942336839,0.2428987332074575,-0.33999362257157073,-0.979149873721392,-0.7385224007539902,-0.25886452181175945,0.9469587606361193,高層ビルをはじめ大規模な建築物や構造物を支える鉄骨を工場で製作する。
32,潜水士,observed,1,名前は聞いたことがある,3.31,-0.06987480054097327,3.172,0.04980682451831701,2.793,0.07695417832736896,3.138,-0.6859460994913201,3.172,0.21988476880984906,2.966,-0.7426931261583402,1.3951723096589508,-0.7857553932452843,0.10835865314407142,0.0,-1.5358623528624946,0.5107409992302221,-0.4430462789556772,0.4604278876332678,-0.5120072929604499,-1.6484519759294731,1.7779727650964572,0.21211739607165472,-7.699595100449963e-16,-0.7694122692596543,0.10633227992599335,0.19578693555631885,-3.6575539645673327e-16,6.028315959046431e-16,0.0,-0.03529747773342179,0.6276974540326005,1.060537284488014,-0.745478262898809,-0.45683076322027827,0.16870670423251818,0.4681690066419517,潜水具を着用して水中に潜り、海底や川底の調査や測量、護岸や防波堤の建設工事、船底の状況の調査や破損修理、沈没船の解体や引揚げなどの水中作業をする。
